"School 
Year","LEA 
Code","LEA 
Name","School 
Code","School 
Name","Charter 
School","Current 
Grades","Direct 
Certification","Community 
Eligibility","Total 
Enrollment","# Identified 
Students",Multiplier,"# Low 
Income 
Students","% Low 
Income 
Students","School 
Served","Eligibility 
Program 
Model","Eligibility 
Justification","Program 
Justification","# Students 
Served TAS","Grades 
Served 
TAS","Served 
1st Year","Served 1st 
Year Comment"
2020-2021,840,Stanly County Schools,840336,Norwood Elementary,N,"0K,01,02,03,04,05",N,N,383,N/A,N/A,242,63.19,Y,SW-SW,,,,,2006-2007,
2020-2021,840,Stanly County Schools,840342,Oakboro Choice STEM,N,"0K,01,02,03,04,05,06,07,08",N,N,328,N/A,N/A,132,40.24,Y,SW-SW,,,,,2018-2019,
2020-2021,840,Stanly County Schools,840344,Richfield Elementary,N,"0K,01,02,03,04,05",N,N,325,N/A,N/A,153,47.08,Y,SW-SW,,,,,2010-2011,
2020-2021,840,Stanly County Schools,840350,West Stanly Middle School,N,"06,07,08",N,N,628,N/A,N/A,233,37.1,N,TAS,,,,,,
2020-2021,840,Stanly County Schools,840356,South Stanly High,N,"09,10,11,12,XG",N,N,477,N/A,N/A,199,41.72,N,SW,,,,,,
2020-2021,840,Stanly County Schools,840358,South Stanly Middle,N,"06,07,08",N,N,391,N/A,N/A,198,50.64,N,SW,,,,,,
2020-2021,840,Stanly County Schools,840360,Stanfield Elementary,N,"0K,01,02,03,04,05",N,N,351,N/A,N/A,178,50.71,Y,SW-SW,,,,,2012-2013,
2020-2021,840,Stanly County Schools,840361,Stanly Early College High,N,"09,10,11,12,13,XG",N,N,188,N/A,N/A,66,35.11,N,TAS,,,,,,
2020-2021,840,Stanly County Schools,840362,Stanly STEM Early College,N,"09,10,11,XG",N,N,38,N/A,N/A,19,50,N,SW,,,,,,
2020-2021,840,Stanly County Schools,840366,Stanly County Virtual Education,N,"0K,01,02,03,04,05,06,07,08,09,10,11,12,XG",N,N,33,N/A,N/A,0,0,N,Not Title I,,,,,,
2020-2021,840,Stanly County Schools,840368,West Stanly High,N,"09,10,11,12,XG",N,N,695,N/A,N/A,204,29.35,N,Not Title I,,,,,,
2020-2021,840,Stanly County Schools,840370,Stanly Academy Learning Center,N,"09,10,11,12,XG",N,Y,47,47,1.6,47,100,Y,SW-SW,,,,,2017-2018,
2020-2021,84B,Gray Stone Day School,84B000,Gray Stone Day,Y,"06,07,08,09,10,11,12",N,Y,801,N/A,N/A,50,6.24,N,Not Title I,,,,,,
2020-2021,850,Stokes County Schools,850304,Chestnut Grove Middle School,N,"06,07,08",N,N,686,N/A,N/A,321,46.79,N,SW,,,,,,
2020-2021,850,Stokes County Schools,850312,Germanton Elementary School,N,"0K,01,02,03,04,05",N,N,157,N/A,N/A,82,52.23,Y,SW-SW,,,,,2006-2007,
2020-2021,850,Stokes County Schools,850314,Mount Olive Elementary School,N,"0K,01,02,03,04,05",N,N,316,N/A,N/A,140,44.3,Y,SW-SW,,,,,2009-2010,
2020-2021,850,Stokes County Schools,850316,King Elementary School,N,"PK,0K,01,02,03,04,05",N,N,412,N/A,N/A,249,60.44,Y,SW-SW,,,,,2006-2007,
2020-2021,850,Stokes County Schools,850320,Lawsonville Elementary School,N,"0K,01,02,03,04,05",N,N,134,N/A,N/A,70,52.24,Y,SW-SW,,,,,2006-2007,
2020-2021,850,Stokes County Schools,850324,Meadowbrook Academy,N,"06,07,08,09,10,11,12",N,N,81,N/A,N/A,67,82.72,Y,SW-SW,,,,,2009-2010,
2020-2021,850,Stokes County Schools,850328,Nancy Reynolds Elementary School,N,"0K,01,02,03,04,05",N,N,145,N/A,N/A,93,64.14,Y,SW-SW,,,,,2006-2007,
2020-2021,850,Stokes County Schools,850332,North Stokes High School,N,"09,10,11,12,XG",N,N,319,N/A,N/A,151,47.34,N,SW,,,,,,
2020-2021,850,Stokes County Schools,850336,Pine Hall Elementary School,N,"0K,01,02,03,04,05",N,N,140,N/A,N/A,78,55.71,Y,SW-SW,,,,,2006-2007,
2020-2021,850,Stokes County Schools,850338,Piney Grove Middle School,N,"06,07,08",N,N,249,N/A,N/A,129,51.81,N,SW,,,,,,
2020-2021,850,Stokes County Schools,850340,Pinnacle Elementary School,N,"PK,0K,01,02,03,04,05",N,N,173,N/A,N/A,97,56.07,Y,SW-SW,,,,,2006-2007,
2020-2021,850,Stokes County Schools,850342,Poplar Springs Elementary School,N,"PK,0K,01,02,03,04,05",N,N,441,N/A,N/A,242,54.88,Y,SW-SW,,,,,2012-2013,
2020-2021,850,Stokes County Schools,850348,Sandy Ridge  Elementary School,N,"0K,01,02,03,04,05",N,N,209,N/A,N/A,141,67.46,Y,SW-SW,,,,,2006-2007,
2020-2021,850,Stokes County Schools,850350,Southeastern Stokes Middle School,N,"06,07,08",N,N,415,N/A,N/A,230,55.42,N,SW,,,,,,
2020-2021,850,Stokes County Schools,850352,South Stokes High School,N,"09,10,11,12,XG",N,N,491,N/A,N/A,225,45.82,N,SW,,,,,,
2020-2021,850,Stokes County Schools,850354,London Elementary School,N,"PK,0K,01,02,03,04,05",N,N,218,N/A,N/A,144,66.06,Y,SW-SW,,,,,2004-2005,
2020-2021,850,Stokes County Schools,850356,Walnut Cove Elementary School,N,"PK,0K,01,02,03,04,05",N,N,250,N/A,N/A,176,70.4,Y,SW-SW,,,,,2004-2005,
2020-2021,850,Stokes County Schools,850358,West Stokes High School,N,"09,10,11,12,XG",N,N,752,N/A,N/A,290,38.56,N,TAS,,,,,,
2020-2021,850,Stokes County Schools,850360,Stokes Early College High School,N,"09,10,11,12,13",N,N,177,N/A,N/A,60,33.9,N,Not Title I,,,,,,
2020-2021,860,Surry County Schools,860302,Cedar Ridge Elementary,N,"PK,0K,01,02,03,04,05",N,N,359,N/A,N/A,244,67.97,Y,SW-SW,,,,,2006-2007,
2020-2021,860,Surry County Schools,860306,Central Middle,N,"06,07,08",N,N,597,N/A,N/A,400,67,N,SW,,,,,,
2020-2021,860,Surry County Schools,860308,Copeland Elementary,N,"PK,0K,01,02,03,04,05",N,N,264,N/A,N/A,184,69.7,Y,SW-SW,,,,,2006-2007,
2020-2021,860,Surry County Schools,860312,Dobson Elementary,N,"PK,0K,01,02,03,04,05",N,N,329,N/A,N/A,204,62.01,Y,SW-SW,,,,,2006-2007,
2020-2021,860,Surry County Schools,860316,East Surry High,N,"09,10,11,12,XG",N,N,571,N/A,N/A,230,40.28,N,SW,,,,,,
2020-2021,860,Surry County Schools,860320,Flat Rock Elementary,N,"PK,0K,01,02,03,04,05",N,Y,215,134,1.6,214,99.53,Y,SW-SW,,,,,2006-2007,
2020-2021,860,Surry County Schools,860324,Franklin Elementary,N,"PK,0K,01,02,03,04,05",N,N,479,N/A,N/A,350,73.07,Y,SW-SW,,,,,2006-2007,
2020-2021,860,Surry County Schools,860326,J Sam Gentry Middle,N,"06,07,08",N,N,407,N/A,N/A,239,58.72,N,SW,,,,,,
2020-2021,860,Surry County Schools,860330,Meadowview Magnet Middle,N,"06,07,08",N,N,364,N/A,N/A,249,68.41,N,SW,,,,,,
2020-2021,860,Surry County Schools,860332,Mountain Park Elementary,N,"PK,0K,01,02,03,04,05",N,N,155,N/A,N/A,104,67.1,Y,SW-SW,,,,,2006-2007,
2020-2021,860,Surry County Schools,860336,North Surry High,N,"09,10,11,12,XG",N,N,827,N/A,N/A,434,52.48,N,SW,,,,,,
2020-2021,860,Surry County Schools,860339,Pilot Mountain Elementary,N,"PK,0K,01,02,03,04,05",N,N,370,N/A,N/A,186,50.27,Y,SW-SW,,,,,2010-2011,
2020-2021,860,Surry County Schools,860340,Pilot Mountain Middle,N,"06,07,08",N,N,467,N/A,N/A,220,47.11,N,SW,,,,,,
2020-2021,860,Surry County Schools,860344,Rockford Elementary,N,"PK,0K,01,02,03,04,05",N,N,344,N/A,N/A,247,71.8,Y,SW-SW,,,,,2010-2011,
2020-2021,860,Surry County Schools,860348,Shoals Elementary,N,"PK,0K,01,02,03,04,05",N,N,282,N/A,N/A,138,48.94,Y,SW-SW,,,,,2006-2007,
2020-2021,860,Surry County Schools,860352,Surry Central High,N,"09,10,11,12,XG",N,N,679,N/A,N/A,405,59.65,N,SW,,,,,,
2020-2021,860,Surry County Schools,860353,Surry Online Magnet School,N,"03,04,05,06,07,08,09,10,11,12",N,N,193,N/A,N/A,76,39.38,N,TAS,,,,,,
2020-2021,860,Surry County Schools,860354,Surry Early College,N,"09,10,11,12,13",N,N,314,N/A,N/A,181,57.64,N,SW,,,,,,
2020-2021,860,Surry County Schools,860356,Westfield Elementary,N,"PK,0K,01,02,03,04,05",N,N,229,N/A,N/A,161,70.31,Y,SW-SW,,,,,2005-2006,
2020-2021,860,Surry County Schools,860360,White Plains Elementary,N,"PK,0K,01,02,03,04,05",N,N,317,N/A,N/A,171,53.94,Y,SW-SW,,,,,2006-2007,
2020-2021,861,Elkin City Schools,861304,Elkin Elementary,N,"PK,0K,01,02,03,04,05,06",N,N,670,N/A,N/A,320,47.76,Y,SW-SW,,,,,2006-2007,
2020-2021,861,Elkin City Schools,861308,Elkin High,N,"09,10,11,12",N,N,365,N/A,N/A,136,37.26,N,TAS,,,,,,
2020-2021,861,Elkin City Schools,861312,Elkin Middle,N,"07,08",N,N,211,N/A,N/A,79,37.44,N,TAS,,,,,,
2020-2021,862,Mount Airy City Schools,862308,Bruce H. Tharrington Primary,N,"PK,0K,01,02",N,N,369,N/A,N/A,230,62.33,Y,SW-SW,,,,,2004-2005,
2020-2021,862,Mount Airy City Schools,862310,Jones Intermediate,N,"03,04,05",N,N,361,N/A,N/A,214,59.28,Y,SW-SW,,,,,2004-2005,
2020-2021,862,Mount Airy City Schools,862312,Mount Airy High,N,"09,10,11,12,XG",N,N,515,N/A,N/A,208,40.39,N,SW,,,,,,
2020-2021,862,Mount Airy City Schools,862316,Mount Airy Middle,N,"06,07,08",N,N,437,N/A,N/A,251,57.44,N,SW,,,,,,
2020-2021,86T,Millennium Charter Academy,86T000,Millennium Charter Academy,Y,"0K,01,02,03,04,05,06,07,08,09,10,11,12",N,N,809,N/A,N/A,97,11.99,N,Not Title I,,,,,,
2020-2021,870,Swain County Schools,870312,Cherokee Extension School,N,"0K,01,02,03,04,05,06,07,08,09,10,11,12,XG",N,N,0,N/A,N/A,0,0,N,Not Title I,,,,,,
2020-2021,870,Swain County Schools,870314,Swain County High School,N,"09,10,11,12,XG",N,N,522,N/A,N/A,246,47.13,N,SW,,,,,,
2020-2021,870,Swain County Schools,870318,Swain County Middle School,N,"PK,06,07,08",N,N,440,N/A,N/A,316,71.82,Y,SW-SW,,,,,2005-2006,
2020-2021,870,Swain County Schools,870320,Swain County East Elementary,N,"0K,01,02,03,04,05",N,N,374,N/A,N/A,247,66.04,Y,SW-SW,,,,,2006-2007,
2020-2021,870,Swain County Schools,870324,Swain County West Elementary,N,"0K,01,02,03,04,05",N,Y,428,204,1.6,326,76.17,Y,SW-SW,,,,,2006-2007,
2020-2021,87A,Mountain Discovery Charter School,87A000,Mountain Discovery,Y,"0K,01,02,03,04,05,06,07,08",N,N,180,N/A,N/A,90,50,Y,SW-TAS,,,48,"0K,01,02,03,04,05",2006-2007,
2020-2021,880,Transylvania County Schools,880304,Brevard Elementary,N,"PK,0K,01,02,03,04,05",N,N,462,N/A,N/A,310,67.1,Y,SW-SW,,,,,2006-2007,
2020-2021,880,Transylvania County Schools,880308,Brevard High,N,"09,10,11,12",N,N,746,N/A,N/A,269,36.06,N,TAS,,,,,,
2020-2021,880,Transylvania County Schools,880312,Brevard Middle,N,"06,07,08",N,N,560,N/A,N/A,279,49.82,N,SW,,,,,,
2020-2021,880,Transylvania County Schools,880318,Pisgah Forest Elementary,N,"0K,01,02,03,04,05",N,N,444,N/A,N/A,274,61.71,Y,SW-SW,,,,,2006-2007,
2020-2021,880,Transylvania County Schools,880320,Davidson River School,N,"09,10,11,12",N,Y,66,63,1.6,66,100,N,SW,,,,,,
2020-2021,880,Transylvania County Schools,880324,Rosman Elementary,N,"PK,0K,01,02,03,04,05",N,N,318,N/A,N/A,223,70.13,Y,SW-SW,,,,,2006-2007,
2020-2021,880,Transylvania County Schools,880328,Rosman High,N,"09,10,11,12",N,N,301,N/A,N/A,132,43.85,N,SW,,,,,,
2020-2021,880,Transylvania County Schools,880330,Rosman Middle,N,"06,07,08",N,N,226,N/A,N/A,156,69.03,N,SW,,,,,,
2020-2021,880,Transylvania County Schools,880336,T C Henderson,N,"PK,0K,01,02,03,04,05",N,N,106,N/A,N/A,94,88.68,Y,SW-SW,,,,,2006-2007,
2020-2021,88A,Brevard Academy,88A000,Brevard Academy,Y,"0K,01,02,03,04,05,06,07,08",N,N,411,149,1.6,238,57.91,Y,SW-SW,,,,,2016-2017,
2020-2021,890,Tyrrell County Schools,890304,Columbia High,N,"09,10,11,12,13,XG",N,Y,176,N/A,N/A,81,46.02,Y,SW-SW,,,,,2018-2019,
2020-2021,890,Tyrrell County Schools,890306,Columbia Middle,N,"06,07,08",N,Y,145,N/A,N/A,74,51.03,Y,SW-SW,,,,,2018-2019,
2020-2021,890,Tyrrell County Schools,890308,Tyrrell Elementary,N,"PK,0K,01,02,03,04,05",N,Y,276,N/A,N/A,222,80.43,Y,SW-SW,,,,,2006-2007,
2020-2021,900,Union County Public Schools,900302,Antioch Elementary,N,"0K,01,02,03,04,05",N,N,926,N/A,N/A,55,5.94,N,Not Title I,,,,,,
2020-2021,900,Union County Public Schools,900303,Rea View Elementary,N,"0K,01,02,03,04,05",N,N,688,N/A,N/A,14,2.03,N,Not Title I,,,,,,
2020-2021,900,Union County Public Schools,900304,Benton Heights Elementary,N,"PK,0K,01,02,03,04,05",N,Y,552,552,1.6,552,100,Y,SW-SW,,,,,2006-2007,
2020-2021,900,Union County Public Schools,900305,New Town Elementary,N,"PK,0K,01,02,03,04,05",N,N,899,N/A,N/A,46,5.12,N,Not Title I,,,,,,
2020-2021,900,Union County Public Schools,900306,East Elementary,N,"PK,0K,01,02,03,04,05",N,Y,498,498,1.6,498,100,Y,SW-SW,,,,,2003-2004,
2020-2021,900,Union County Public Schools,900307,Rocky River Elementary,N,"PK,0K,01,02,03,04,05",N,N,561,N/A,N/A,359,63.99,Y,SW-SW,,,,,2009-2010,
2020-2021,900,Union County Public Schools,900308,East Union Middle,N,"06,07,08",N,N,735,N/A,N/A,529,71.97,N,SW,,,,,,
2020-2021,900,Union County Public Schools,900310,Cuthbertson Middle,N,"06,07,08",N,N,1406,N/A,N/A,67,4.77,N,Not Title I,,,,,,
2020-2021,900,Union County Public Schools,900311,Cuthbertson High,N,"09,10,11,12,XG",N,N,1925,N/A,N/A,92,4.78,N,Not Title I,,,,,,
2020-2021,900,Union County Public Schools,900312,Fairview Elementary,N,"PK,0K,01,02,03,04,05",N,N,418,N/A,N/A,109,26.08,N,Not Title I,,,,,,
2020-2021,900,Union County Public Schools,900314,Monroe Middle,N,"06,07,08",N,Y,902,902,1.6,902,100,N,SW,,,,,,
2020-2021,900,Union County Public Schools,900316,Forest Hills High,N,"09,10,11,12,XG",N,N,867,N/A,N/A,508,58.59,N,SW,,,,,,
2020-2021,900,Union County Public Schools,900318,Hemby Bridge Elementary,N,"PK,0K,01,02,03,04,05",N,N,457,N/A,N/A,126,27.57,N,Not Title I,,,,,,
2020-2021,900,Union County Public Schools,900320,Indian Trail Elementary,N,"PK,0K,01,02,03,04,05",N,N,622,N/A,N/A,235,37.78,N,TAS,,,,,,
2020-2021,900,Union County Public Schools,900328,Kensington Elementary,N,"PK,0K,01,02,03,04,05",N,N,1006,N/A,N/A,49,4.87,N,Not Title I,,,,,,
2020-2021,900,Union County Public Schools,900332,Marshville Elementary,N,"PK,0K,01,02,03,04,05",N,Y,402,402,1.6,402,100,Y,SW-SW,,,,,2006-2007,
2020-2021,900,Union County Public Schools,900334,Marvin Elementary,N,"PK,0K,01,02,03,04,05",N,N,805,N/A,N/A,10,1.24,N,Not Title I,,,,,,
2020-2021,900,Union County Public Schools,900336,Monroe High,N,"09,10,11,12,XG",N,N,991,N/A,N/A,671,67.71,N,SW,,,,,,
2020-2021,900,Union County Public Schools,900340,New Salem Elementary,N,"PK,0K,01,02,03,04,05",N,N,243,N/A,N/A,67,27.57,N,Not Title I,,,,,,
2020-2021,900,Union County Public Schools,900341,Porter Ridge Elementary,N,"PK,0K,01,02,03,04,05",N,N,588,N/A,N/A,273,46.43,N,SW,,,,,,
2020-2021,900,Union County Public Schools,900342,Porter Ridge High School,N,"09,10,11,12,XG",N,N,1665,N/A,N/A,422,25.35,N,Not Title I,,,,,,
2020-2021,900,Union County Public Schools,900343,Porter Ridge Middle School,N,"06,07,08",N,N,1328,N/A,N/A,373,28.09,N,Not Title I,,,,,,
2020-2021,900,Union County Public Schools,900344,Parkwood High,N,"09,10,11,12,XG",N,N,1093,N/A,N/A,309,28.27,N,Not Title I,,,,,,
2020-2021,900,Union County Public Schools,900346,Parkwood Middle,N,"06,07,08",N,N,796,N/A,N/A,321,40.33,N,SW,,,,,,
2020-2021,900,Union County Public Schools,900347,Poplin Elementary,N,"PK,0K,01,02,03,04,05",N,N,660,N/A,N/A,108,16.36,N,Not Title I,,,,,,
2020-2021,900,Union County Public Schools,900348,Piedmont High,N,"09,10,11,12,XG",N,N,1285,N/A,N/A,235,18.29,N,Not Title I,,,,,,
2020-2021,900,Union County Public Schools,900350,Piedmont Middle,N,"06,07,08",N,N,986,N/A,N/A,280,28.4,N,Not Title I,,,,,,
2020-2021,900,Union County Public Schools,900351,Rock Rest Elementary,N,"PK,0K,01,02,03,04,05",N,Y,476,476,1.6,476,100,Y,SW-SW,,,,,2007-2008,
2020-2021,900,Union County Public Schools,900352,Prospect Elementary,N,"0K,01,02,03,04,05",N,N,425,N/A,N/A,157,36.94,N,TAS,,,,,,
2020-2021,900,Union County Public Schools,900353,Sandy Ridge Elementary,N,"PK,0K,01,02,03,04,05",N,N,680,N/A,N/A,32,4.71,N,Not Title I,,,,,,
2020-2021,900,Union County Public Schools,900354,Sardis Elementary,N,"PK,0K,01,02,03,04,05",N,N,552,N/A,N/A,352,63.77,Y,SW-SW,,,,,2010-2011,
2020-2021,900,Union County Public Schools,900356,Shiloh Valley Elementary,N,"03,04,05",N,N,601,N/A,N/A,214,35.61,N,TAS,,,,,,
2020-2021,900,Union County Public Schools,900358,Stallings Elementary,N,"PK,0K,01,02,03,04,05",N,N,678,N/A,N/A,142,20.94,N,Not Title I,,,,,,
2020-2021,900,Union County Public Schools,900360,Sun Valley High,N,"09,10,11,12,XG",N,N,1433,N/A,N/A,348,24.28,N,Not Title I,,,,,,
2020-2021,900,Union County Public Schools,900362,Sun Valley Middle,N,"06,07,08",N,N,1142,N/A,N/A,378,33.1,N,Not Title I,,,,,,
2020-2021,900,Union County Public Schools,900363,Shiloh Valley Primary School,N,"PK,0K,01,02",N,N,608,N/A,N/A,194,31.91,N,Not Title I,,,,,,
2020-2021,900,Union County Public Schools,900364,Union Elementary,N,"PK,0K,01,02,03,04,05",N,N,335,N/A,N/A,201,60,Y,SW-SW,,,,,2006-2007,
2020-2021,900,Union County Public Schools,900365,South Providence,N,"06,07,08,09,10,11,12,XG",N,N,121,N/A,N/A,84,69.42,N,SW,,,,,,
2020-2021,900,Union County Public Schools,900366,Central Academy of Technology and Arts,N,"09,10,11,12,XG",N,N,846,N/A,N/A,104,12.29,N,Not Title I,,,,,,
2020-2021,900,Union County Public Schools,900367,Union County Early College,N,"09,10,11,12,13,XG",N,N,366,N/A,N/A,121,33.06,N,Not Title I,,,,,,
2020-2021,900,Union County Public Schools,900368,Unionville Elementary,N,"PK,0K,01,02,03,04,05",N,N,708,N/A,N/A,177,25,N,Not Title I,,,,,,
2020-2021,900,Union County Public Schools,900370,Walter Bickett Elementary,N,"PK,0K,01,02,03,04,05",N,Y,589,589,1.6,589,100,Y,SW-SW,,,,,2004-2005,
2020-2021,900,Union County Public Schools,900372,Waxhaw Elementary,N,"PK,0K,01,02,03,04,05",N,N,586,N/A,N/A,248,42.32,N,SW,,,,,,
2020-2021,900,Union County Public Schools,900376,Weddington Elementary,N,"PK,0K,01,02,03,04,05",N,N,766,N/A,N/A,13,1.7,N,Not Title I,,,,,,
2020-2021,900,Union County Public Schools,900377,Weddington High,N,"09,10,11,12,XG",N,N,1629,N/A,N/A,71,4.36,N,Not Title I,,,,,,
2020-2021,900,Union County Public Schools,900378,Weddington Middle,N,"06,07,08",N,N,1263,N/A,N/A,64,5.07,N,Not Title I,,,,,,
2020-2021,900,Union County Public Schools,900380,Wesley Chapel Elementary,N,"0K,01,02,03,04,05",N,N,587,N/A,N/A,59,10.05,N,Not Title I,,,,,,
2020-2021,900,Union County Public Schools,900384,Western Union Elementary,N,"PK,0K,01,02,03,04,05",N,N,524,N/A,N/A,166,31.68,N,Not Title I,,,,,,
2020-2021,900,Union County Public Schools,900388,Wingate Elementary,N,"PK,0K,01,02,03,04,05",N,Y,458,458,1.6,458,100,Y,SW-SW,,,,,2006-2007,
2020-2021,900,Union County Public Schools,900391,Marvin Ridge Middle,N,"06,07,08",N,N,1444,N/A,N/A,38,2.63,N,Not Title I,,,,,,
2020-2021,900,Union County Public Schools,900392,Wolfe School,N,"0K,01,02,03,04,05,06,07,08,09,10,11,12,XG",N,N,105,N/A,N/A,37,35.24,N,TAS,,,,,,
2020-2021,900,Union County Public Schools,900393,Marvin Ridge High,N,"09,10,11,12,XG",N,N,1843,N/A,N/A,25,1.36,N,Not Title I,,,,,,
2020-2021,90A,Union Academy Charter School,90A000,Union Academy,Y,"0K,01,02,03,04,05,06,07,08,09,10,11,12,XG",N,N,1967,324,1.6,518,26.33,N,Not Title I,,,,,2020-2021,
2020-2021,90B,Union Day School,90B000,Union Day School,Y,"0K,01,02,03,04,05,06,07",N,N,560,N/A,N/A,92,16.43,Y,TAS-TAS,Charter School,,92,"0K,01,02,03,04,05,06,07",2020-2021,
2020-2021,90C,Union Preparatory Academy at Indian Trai,90C000,Union Prep Academy at Indian Trail,Y,"0K,01,02,03,04,05,06,07,08",N,Y,955,253,1.6,405,42.41,Y,SW-TAS,,,110,"01,02,03,04,05,06",2016-2017,
2020-2021,90D,Monroe Charter Academy,90D000,Monroe Charter Academy,Y,"0K,01,02,03,04",N,N,123,N/A,N/A,74,60.16,Y,SW-SW,,,,,2019-2020,
2020-2021,90F,Apprentice Academy HS of NC,90F000,Apprentice Academy High School,Y,"09,10,11,12",N,N,281,46,1.6,74,26.33,Y,TAS-TAS,Charter School,,50,"09,11",2019-2020,
2020-2021,910,Vance County Schools,910304,Aycock Elementary,N,"PK,0K,01,02,03,04,05",N,Y,443,N/A,N/A,256,57.79,Y,SW-SW,,,,,2006-2007,
2020-2021,910,Vance County Schools,910308,Carver Elementary,N,"PK,0K,01,02,03,04,05",N,Y,174,N/A,N/A,122,70.11,Y,SW-SW,,,,,2006-2007,
2020-2021,910,Vance County Schools,910311,Clarke Elementary,N,"PK,0K,01,02,03,04,05",N,Y,489,N/A,N/A,343,70.14,Y,SW-SW,,,,,2010-2011,
2020-2021,910,Vance County Schools,910314,Dabney Elementary,N,"PK,0K,01,02,03,04,05",N,Y,488,N/A,N/A,310,63.52,Y,SW-SW,,,,,2006-2007,
2020-2021,910,Vance County Schools,910316,Vance County Middle School,N,"06,07,08",N,Y,856,N/A,N/A,581,67.87,Y,SW-SW,,,,,2009-2010,
2020-2021,910,Vance County Schools,910340,New Hope Elementary,N,"PK,0K,01,02,03,04,05",N,Y,156,N/A,N/A,128,82.05,Y,SW-SW,,,,,2005-2006,
2020-2021,910,Vance County Schools,910346,E O Young Jr Elementary,N,"PK,0K,01,02,03,04,05",N,Y,195,N/A,N/A,122,62.56,Y,SW-SW,,,,,2006-2007,
2020-2021,910,Vance County Schools,910356,Pinkston Street Elementary,N,"PK,0K,01,02,03,04,05",N,Y,261,N/A,N/A,216,82.76,Y,SW-SW,,,,,2006-2007,
2020-2021,910,Vance County Schools,910360,E M Rollins Elementary,N,"PK,0K,01,02,03,04,05",N,Y,280,N/A,N/A,222,79.29,Y,SW-SW,,,,,2004-2005,
2020-2021,910,Vance County Schools,910368,AdVance Academy,N,"06,07,08,09,10,11,12,XG",N,Y,214,N/A,N/A,131,61.21,Y,SW-SW,,,,,2020-2021,
2020-2021,910,Vance County Schools,910369,Vance Virtual Village Academy,N,"0K,01,02,03,04,05,06,07,08,09,10,11,12",N,Y,252,N/A,N/A,12,4.76,N,Not Title I,,,,,,
2020-2021,910,Vance County Schools,910370,Vance County High School,N,"09,10,11,12,XG",N,Y,939,N/A,N/A,560,59.64,N,SW,,,,,,
2020-2021,910,Vance County Schools,910376,L B Yancey Elementary,N,"PK,0K,01,02,03,04,05",N,Y,278,N/A,N/A,209,75.18,Y,SW-SW,,,,,2006-2007,
2020-2021,910,Vance County Schools,910380,Zeb Vance Elementary,N,"PK,0K,01,02,03,04,05",N,Y,352,N/A,N/A,203,57.67,Y,SW-SW,,,,,2005-2006,
2020-2021,910,Vance County Schools,910382,Vance Co Early College,N,"09,10,11,12,13,XG",N,Y,213,N/A,N/A,51,23.94,N,Not Title I,,,,,,
2020-2021,910,Vance County Schools,910384,STEM Early High,N,"06,07,08",N,Y,279,N/A,N/A,123,44.09,Y,SW-SW,,,,,2015-2016,
2020-2021,91A,Vance Charter School,91A000,Vance Charter School,Y,"0K,01,02,03,04,05,06,07,08,09,10,11,12",N,N,935,596,1.6,935,100,Y,SW-SW,,,,,2017-2018,
2020-2021,91B,Henderson Collegiate,91B000,Henderson Collegiate,Y,"0K,01,02,03,04,05,06,07,08,09,10,11,12",N,Y,1325,1325,1.6,1325,100,Y,SW-SW,,,,,2010-2011,
2020-2021,920,Wake County Schools,920302,River Bend Elementary,N,"PK,0K,01,02,03,04,05",N,N,800,N/A,N/A,489,61.13,Y,SW-SW,,,,,2006-2007,
2020-2021,920,Wake County Schools,920303,Abbotts Creek Elementary,N,"PK,0K,01,02,03,04,05",N,N,916,N/A,N/A,247,26.97,N,Not Title I,,,,,,
2020-2021,920,Wake County Schools,920304,Adams Elementary,N,"PK,0K,01,02,03,04,05",N,N,568,N/A,N/A,268,47.18,Y,SW-SW,,,,,2019-2020,
2020-2021,920,Wake County Schools,920306,Herbert Akins Rd Elementary,N,"PK,0K,01,02,03,04,05",N,N,932,N/A,N/A,189,20.28,N,Not Title I,,,,,,
2020-2021,920,Wake County Schools,920307,Alston Ridge Elementary,N,"PK,0K,01,02,03,04,05",N,N,1147,N/A,N/A,120,10.46,N,Not Title I,,,,,,
2020-2021,920,Wake County Schools,920308,Apex Elementary,N,"PK,0K,01,02,03,04,05",N,N,660,N/A,N/A,184,27.88,N,Not Title I,,,,,,
2020-2021,920,Wake County Schools,920309,Alston Ridge Middle,N,"06,07,08",N,N,957,N/A,N/A,158,16.51,N,Not Title I,,,,,,
2020-2021,920,Wake County Schools,920312,Apex Middle,N,"06,07,08",N,N,993,N/A,N/A,210,21.15,N,Not Title I,,,,,,
2020-2021,920,Wake County Schools,920315,Apex Friendship Middle,N,"06,07,08",N,N,1154,N/A,N/A,125,10.83,N,Not Title I,,,,,,
2020-2021,920,Wake County Schools,920316,Apex High,N,"09,10,11,12,XG",N,N,2119,N/A,N/A,286,13.5,N,Not Title I,,,,,,
2020-2021,920,Wake County Schools,920317,Apex Friendship High,N,"09,10,11,12,XG",N,N,2582,N/A,N/A,228,8.83,N,Not Title I,,,,,,
2020-2021,920,Wake County Schools,920318,Athens Drive High,N,"09,10,11,12,XG",N,N,2007,N/A,N/A,757,37.72,N,TAS,,,,,,
2020-2021,920,Wake County Schools,920320,Aversboro Elementary,N,"PK,0K,01,02,03,04,05",N,N,475,N/A,N/A,313,65.89,Y,SW-SW,,,,,2006-2007,
